Data as of,State,Place of Death,Start week,End Week,COVID19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID19 Deaths",Footnote
07/22/2020,Arizona,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,1585,7971,2069,1019,81,2716,
07/22/2020,Arizona,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,67,1746,81,24,,128,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Arizona,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,,13,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Arizona,Decedent's Home,02/01/2020,07/11/2020,161,11667,338,63,11,447,
07/22/2020,Arizona,Hospice Facility,02/01/2020,07/11/2020,182,2991,266,76,15,387,
07/22/2020,Arizona,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,263,2142,195,96,,364,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Arizona,Other,02/01/2020,07/11/2020,183,7172,233,63,,354,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Arizona,Place of Death Unknown,02/01/2020,07/11/2020,0,0,0,0,0,0,
07/22/2020,Arkansas,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,234,3950,705,121,50,868,
07/22/2020,Arkansas,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,15,1181,53,,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Arkansas,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,,46,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Arkansas,Decedent's Home,02/01/2020,07/11/2020,14,5348,90,,12,111,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Arkansas,Hospice Facility,02/01/2020,07/11/2020,11,1545,102,,,112,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Arkansas,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,74,2482,102,11,,167,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Arkansas,Other,02/01/2020,07/11/2020,11,953,15,0,0,26,
07/22/2020,Arkansas,Place of Death Unknown,02/01/2020,07/11/2020,0,0,0,0,0,0,
07/22/2020,California,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,5471,41205,10007,3434,489,12532,
07/22/2020,California,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,223,7868,485,82,21,647,
07/22/2020,California,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,,57,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,California,Decedent's Home,02/01/2020,07/11/2020,332,52927,949,68,33,1246,
07/22/2020,California,Hospice Facility,02/01/2020,07/11/2020,11,2021,83,,,91,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,California,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,907,19187,1090,295,24,1726,
07/22/2020,California,Other,02/01/2020,07/11/2020,154,13057,235,38,,360,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,California,Place of Death Unknown,02/01/2020,07/11/2020,0,0,0,0,0,0,
07/22/2020,Colorado,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,819,4746,1042,519,45,1384,
07/22/2020,Colorado,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,28,818,53,18,,68,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Colorado,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,,21,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Colorado,Decedent's Home,02/01/2020,07/11/2020,101,7458,206,36,22,293,
07/22/2020,Colorado,Hospice Facility,02/01/2020,07/11/2020,28,1619,98,18,,112,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Colorado,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,641,5006,455,248,19,865,
07/22/2020,Colorado,Other,02/01/2020,07/11/2020,25,1237,32,,0,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Colorado,Place of Death Unknown,02/01/2020,07/11/2020,0,11,0,0,0,0,
07/22/2020,Connecticut,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,2045,5472,1133,664,53,2564,
07/22/2020,Connecticut,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,112,873,43,16,,141,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Connecticut,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,,116,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Connecticut,Decedent's Home,02/01/2020,07/11/2020,109,3962,75,,,180,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Connecticut,Hospice Facility,02/01/2020,07/11/2020,43,455,34,16,0,61,
07/22/2020,Connecticut,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,1615,3854,313,191,13,1750,
07/22/2020,Connecticut,Other,02/01/2020,07/11/2020,102,677,,,0,104,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Connecticut,Place of Death Unknown,02/01/2020,07/11/2020,,1018,42,0,,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Delaware,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,261,1232,289,145,,414,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Delaware,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,,235,10,,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Delaware,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Delaware,Decedent's Home,02/01/2020,07/11/2020,26,1813,24,,,45,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Delaware,Hospice Facility,02/01/2020,07/11/2020,0,415,12,0,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Delaware,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,217,873,76,43,,251,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Delaware,Other,02/01/2020,07/11/2020,,252,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Delaware,Place of Death Unknown,02/01/2020,07/11/2020,0,0,0,0,0,0,
07/22/2020,District of Columbia,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,510,1824,665,501,,682,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,District of Columbia,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,25,207,27,25,0,27,
07/22/2020,District of Columbia,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,0,0,0,0,0,0,
07/22/2020,District of Columbia,Decedent's Home,02/01/2020,07/11/2020,31,789,38,29,0,40,
07/22/2020,District of Columbia,Hospice Facility,02/01/2020,07/11/2020,17,130,20,16,0,21,
07/22/2020,District of Columbia,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,52,335,61,50,0,63,
07/22/2020,District of Columbia,Other,02/01/2020,07/11/2020,,225,,,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,District of Columbia,Place of Death Unknown,02/01/2020,07/11/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Florida,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,3076,27677,5374,1691,215,6965,
07/22/2020,Florida,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,147,6876,224,48,,332,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Florida,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,,102,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Florida,Decedent's Home,02/01/2020,07/11/2020,148,31658,561,55,28,682,
07/22/2020,Florida,Hospice Facility,02/01/2020,07/11/2020,571,19559,1447,232,48,1833,
07/22/2020,Florida,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,230,9775,370,45,,559,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Florida,Other,02/01/2020,07/11/2020,165,10781,385,84,,472,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Florida,Place of Death Unknown,02/01/2020,07/11/2020,0,0,0,0,0,0,
07/22/2020,Georgia,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,1729,11464,2248,923,86,3139,
07/22/2020,Georgia,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,126,3867,141,40,,233,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Georgia,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,,403,11,,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Georgia,Decedent's Home,02/01/2020,07/11/2020,93,14353,204,21,,283,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Georgia,Hospice Facility,02/01/2020,07/11/2020,124,3176,260,43,,348,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Georgia,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,450,6068,298,109,,641,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Georgia,Other,02/01/2020,07/11/2020,17,2407,29,,,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Georgia,Place of Death Unknown,02/01/2020,07/11/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Hawaii,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,18,1362,211,,13,236,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Hawaii,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,0,418,17,0,0,17,
07/22/2020,Hawaii,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,0,226,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Hawaii,Decedent's Home,02/01/2020,07/11/2020,,1973,45,0,,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Hawaii,Hospice Facility,02/01/2020,07/11/2020,0,329,13,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Hawaii,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,0,518,27,0,,30,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Hawaii,Other,02/01/2020,07/11/2020,,608,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Hawaii,Place of Death Unknown,02/01/2020,07/11/2020,0,0,0,0,0,0,
07/22/2020,Idaho,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,53,1391,168,17,14,218,
07/22/2020,Idaho,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,,248,,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Idaho,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,0,11,0,0,0,0,
07/22/2020,Idaho,Decedent's Home,02/01/2020,07/11/2020,,2905,56,,,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Idaho,Hospice Facility,02/01/2020,07/11/2020,0,286,10,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Idaho,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,51,1618,72,10,,116,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Idaho,Other,02/01/2020,07/11/2020,0,355,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Idaho,Place of Death Unknown,02/01/2020,07/11/2020,0,0,0,0,0,0,
07/22/2020,Illinois,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,4701,18098,4930,2783,115,6960,
07/22/2020,Illinois,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,274,4221,222,91,,414,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Illinois,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,,133,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Illinois,Decedent's Home,02/01/2020,07/11/2020,259,19172,393,42,17,627,
07/22/2020,Illinois,Hospice Facility,02/01/2020,07/11/2020,164,2321,207,86,,294,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Illinois,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,1110,11464,733,273,24,1594,
07/22/2020,Illinois,Other,02/01/2020,07/11/2020,135,3913,112,36,,214,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Illinois,Place of Death Unknown,02/01/2020,07/11/2020,0,0,0,0,0,0,
07/22/2020,Indiana,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,1450,9559,2207,874,87,2866,
07/22/2020,Indiana,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,47,1308,65,15,,100,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Indiana,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,0,18,0,0,0,0,
07/22/2020,Indiana,Decedent's Home,02/01/2020,07/11/2020,93,11166,260,18,13,348,
07/22/2020,Indiana,Hospice Facility,02/01/2020,07/11/2020,23,1408,103,12,,121,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Indiana,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,1106,8892,603,213,19,1515,
07/22/2020,Indiana,Other,02/01/2020,07/11/2020,14,1470,27,,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Indiana,Place of Death Unknown,02/01/2020,07/11/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Iowa,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,401,3458,613,196,41,859,
07/22/2020,Iowa,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,13,664,26,0,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Iowa,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,0,18,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Iowa,Decedent's Home,02/01/2020,07/11/2020,30,4111,98,,,131,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Iowa,Hospice Facility,02/01/2020,07/11/2020,20,1344,100,,,123,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Iowa,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,325,4659,200,23,22,524,
07/22/2020,Iowa,Other,02/01/2020,07/11/2020,,373,,0,0,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Iowa,Place of Death Unknown,02/01/2020,07/11/2020,,,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Kansas,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,193,3120,517,106,50,654,
07/22/2020,Kansas,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,12,525,19,,,29,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Kansas,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,0,10,0,0,0,0,
07/22/2020,Kansas,Decedent's Home,02/01/2020,07/11/2020,22,4170,86,,13,119,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Kansas,Hospice Facility,02/01/2020,07/11/2020,,710,55,0,,62,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Kansas,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,85,3419,140,31,18,212,
07/22/2020,Kansas,Other,02/01/2020,07/11/2020,,692,13,0,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Kansas,Place of Death Unknown,02/01/2020,07/11/2020,0,0,0,0,0,0,
07/22/2020,Kentucky,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,453,6695,1484,277,67,1726,
07/22/2020,Kentucky,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,20,1632,52,,,69,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Kentucky,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,,34,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Kentucky,Decedent's Home,02/01/2020,07/11/2020,20,7531,186,,15,213,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Kentucky,Hospice Facility,02/01/2020,07/11/2020,38,1864,101,,10,144,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Kentucky,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,123,3358,185,19,,291,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Kentucky,Other,02/01/2020,07/11/2020,,981,20,0,0,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Kentucky,Place of Death Unknown,02/01/2020,07/11/2020,0,0,0,0,0,0,
07/22/2020,Louisiana,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,2186,7410,1704,1091,56,2850,
07/22/2020,Louisiana,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,132,1485,111,57,,188,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Louisiana,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,,23,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Louisiana,Decedent's Home,02/01/2020,07/11/2020,145,8626,155,47,,262,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Louisiana,Hospice Facility,02/01/2020,07/11/2020,144,1205,108,76,,178,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Louisiana,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,448,4078,298,175,,572,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Louisiana,Other,02/01/2020,07/11/2020,34,1314,37,10,,62,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Louisiana,Place of Death Unknown,02/01/2020,07/11/2020,0,0,0,0,0,0,
07/22/2020,Maine,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,62,1531,279,20,22,343,
07/22/2020,Maine,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,,213,14,0,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Maine,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Maine,Decedent's Home,02/01/2020,07/11/2020,,2632,70,,,78,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Maine,Hospice Facility,02/01/2020,07/11/2020,0,784,23,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Maine,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,58,1574,100,,,158,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Maine,Other,02/01/2020,07/11/2020,,381,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Maine,Place of Death Unknown,02/01/2020,07/11/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Maryland,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,2011,7412,1950,989,90,3049,
07/22/2020,Maryland,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,141,1822,91,20,,214,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Maryland,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,,33,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Maryland,Decedent's Home,02/01/2020,07/11/2020,133,8748,166,19,,288,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Maryland,Hospice Facility,02/01/2020,07/11/2020,294,2886,345,105,12,545,
07/22/2020,Maryland,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,919,4726,380,178,13,1132,
07/22/2020,Maryland,Other,02/01/2020,07/11/2020,122,2676,82,22,,183,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Maryland,Place of Death Unknown,02/01/2020,07/11/2020,0,0,0,0,0,0,
07/22/2020,Massachusetts,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,3768,11388,3305,1981,113,5203,
07/22/2020,Massachusetts,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,170,2211,130,43,,262,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Massachusetts,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,,213,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Massachusetts,Decedent's Home,02/01/2020,07/11/2020,179,9117,244,47,15,390,
07/22/2020,Massachusetts,Hospice Facility,02/01/2020,07/11/2020,39,1436,87,26,11,111,
07/22/2020,Massachusetts,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,3371,9256,1039,669,14,3753,
07/22/2020,Massachusetts,Other,02/01/2020,07/11/2020,224,2023,73,31,,267,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
